JobId,Status,Region,name_coded,shedule
163,4,Санкт-Петербург,экспедитор,
211,4,Санкт-Петербург,Водитель,
232,2,Санкт-Петербург,Водитель,
288,2,Санкт-Петербург,Водитель,
292,4,Санкт-Петербург,Водитель,
369,2,Санкт-Петербург,Водитель,
14103,2,Москва,Водитель,
72644,2,Москва,свое авто,
78524,2,Москва,свое авто,3/1
107861,2,Москва,свое авто,
108161,2,Москва,авто компании,
107910,2,Москва,свое авто,
108600,2,Москва,свое авто,
105343,2,Москва,курьер,
109087,2,Москва,свое авто,
109109,2,Москва,свое авто,
6879,2,Санкт-Петербург,экспедитор,
23397,1,Санкт-Петербург,курьер грузовой,
112950,2,Москва,авто компании,
112951,2,Москва,свое авто,
128271,2,Москва,свое авто,
129116,2,Москва,свое авто,
45177,1,Санкт-Петербург,Водитель,
166935,2,Москва,свое авто,
168394,2,Москва,свое авто,
168396,2,Москва,экспедитор,
116332,2,Москва,свое авто,
116968,3,Москва,свое авто,
116353,2,Москва,авто компании,
121414,2,Москва,курьер свое авто,
60725,2,Санкт-Петербург,Водитель,
64502,2,Санкт-Петербург,грузовой,
68409,2,Санкт-Петербург,Водитель,5/2
158366,2,Екатеринбург,курьер,
132365,2,Москва,авто компании,
132369,2,Москва,Водитель,6/1
132370,2,Москва,Водитель,6/1
175010,2,Екатеринбург,Водитель,
137615,2,Москва,Водитель,
142187,2,Москва,Водитель,6/1
217285,2,Екатеринбург,Водитель,5/2
9635,2,Москва,Водитель,
83003,2,Санкт-Петербург,Водитель,4/2
286712,2,Екатеринбург,экспедитор,
147195,2,Москва,Водитель,
148082,2,Москва,авто компании,
148264,2,Москва,свое авто,
196137,2,Москва,авто компании,
196516,2,Москва,свое авто,
196517,2,Москва,авто компании,
196524,2,Москва,авто компании,
92293,2,Санкт-Петербург,грузовой,
93870,2,Санкт-Петербург,Водитель,
147931,2,Москва,свое авто,2/2
365732,1,Санкт-Петербург,грузовой,
293625,1,Екатеринбург,курьер свое авто,
128247,4,Санкт-Петербург,Водитель,
148293,2,Москва,курьер,
147841,2,Москва,курьер,
148297,1,Москва,легковой,
175794,2,Москва,авто компании,
181855,2,Москва,курьер авто компании,
182455,2,Москва,кладовщик грузовой,
186263,2,Москва,грузовой,
200017,2,Москва,свое авто,
200019,2,Москва,свое авто,
345402,1,Екатеринбург,курьер,
27061,3,Москва,экспедитор,
22861,2,Москва,Водитель,
204684,2,Москва,авто компании,
205119,2,Москва,курьер,
67954,2,Москва,свое авто,3/2
137922,2,Санкт-Петербург,курьер свое авто,2/2
92844,2,Москва,курьер свое авто,
93351,2,Москва,свое авто,
206898,2,Москва,курьер свое авто,6/1
144318,2,Санкт-Петербург,экспедитор,
144418,2,Санкт-Петербург,Водитель,
148133,1,Санкт-Петербург,Водитель,
76107,2,Москва,свое авто,
76599,2,Москва,авто компании,
77009,2,Москва,авто компании,
77011,2,Москва,свое авто,
77322,1,Москва,курьер авто компании,6/1
260041,2,Москва,свое авто,
113646,2,Москва,авто компании,
112869,2,Москва,авто компании,
114243,2,Москва,свое авто,
150448,2,Санкт-Петербург,Водитель,
156526,4,Санкт-Петербург,курьер,
39833,2,Москва,Водитель,
42133,2,Москва,кладовщик,
113282,2,Москва,авто компании,5/2
156554,2,Санкт-Петербург,легковой,
156555,2,Санкт-Петербург,легковой,
156556,1,Санкт-Петербург,легковой,
50951,1,Москва,Водитель,
156559,2,Санкт-Петербург,экспедитор,
156561,2,Санкт-Петербург,курьер,
156563,2,Санкт-Петербург,курьер,
293004,2,Москва,свое авто,
157749,2,Санкт-Петербург,Водитель,
158969,1,Санкт-Петербург,Водитель,
62058,2,Москва,свое авто,
293926,2,Москва,свое авто,
294207,2,Москва,курьер свое авто,
114541,2,Москва,авто компании,
274770,2,Москва,свое авто,
274784,2,Москва,свое авто,2/2
207090,2,Москва,курьер свое авто,6/1
178625,5,Санкт-Петербург,экспедитор,
239932,2,Санкт-Петербург,курьер,
51483,2,Москва,Водитель,
240523,2,Санкт-Петербург,грузовой,
242356,3,Санкт-Петербург,легковой,
248816,2,Санкт-Петербург,Водитель,
51928,2,Москва,Водитель,
181962,2,Санкт-Петербург,грузовой,
113333,2,Москва,авто компании,
112815,2,Москва,свое авто,
113627,2,Москва,авто компании,
113334,2,Москва,свое авто,
114041,2,Москва,курьер авто компании,
196385,2,Санкт-Петербург,Водитель,
196789,2,Санкт-Петербург,курьер,
201175,4,Санкт-Петербург,грузовой,
76669,2,Москва,курьер свое авто,
76676,1,Москва,свое авто,
76356,2,Москва,свое авто,
77057,2,Москва,авто компании,
76744,2,Москва,авто компании,
113840,2,Москва,свое авто,
114818,2,Москва,свое авто,
115151,3,Москва,авто компании,2/2
114951,2,Москва,курьер,
115246,3,Москва,авто компании,
115247,3,Москва,свое авто,
115663,2,Москва,авто компании,
115736,3,Москва,свое авто,
115737,2,Москва,курьер,
118721,2,Москва,курьер авто компании,5/2
118798,2,Москва,авто компании,
119677,2,Москва,свое авто,
207091,2,Москва,курьер свое авто,6/1
177542,2,Москва,свое авто,
177766,2,Москва,Водитель,
203483,2,Санкт-Петербург,грузовой,
212719,3,Санкт-Петербург,Водитель,
218779,2,Санкт-Петербург,курьер,
221823,2,Санкт-Петербург,грузовой,
223846,3,Санкт-Петербург,курьер,
122620,2,Москва,авто компании,
123020,2,Москва,авто компании,
274522,2,Санкт-Петербург,грузовой,
285729,2,Санкт-Петербург,грузовой,
287118,2,Санкт-Петербург,грузовой,
232931,2,Санкт-Петербург,грузовой,
236140,2,Санкт-Петербург,курьер,
57470,2,Москва,Водитель,
198535,2,Москва,курьер,
198536,2,Москва,свое авто,
199430,2,Москва,свое авто,
59891,4,Москва,курьер,5/2
252476,4,Санкт-Петербург,Водитель,
253826,2,Санкт-Петербург,Водитель,
257055,1,Санкт-Петербург,экспедитор,
257574,3,Санкт-Петербург,Водитель,
62171,2,Москва,курьер свое авто,
62173,2,Москва,курьер,
62223,2,Москва,Водитель,
332648,1,Санкт-Петербург,грузовой,
148291,2,Москва,курьер,
311523,1,Санкт-Петербург,Водитель,
312383,2,Санкт-Петербург,грузовой,
326705,2,Санкт-Петербург,Водитель,
123679,2,Москва,курьер,
123701,2,Москва,авто компании,
123756,2,Москва,свое авто,
123128,2,Москва,свое авто,
62232,2,Москва,Водитель,
119735,2,Москва,экспедитор,
154792,2,Москва,курьер,
154793,2,Москва,курьер свое авто,
156304,2,Москва,авто компании,
156308,2,Москва,свое авто,
155999,2,Москва,авто компании,
162743,2,Москва,курьер,
62085,1,Москва,свое авто,
171551,2,Москва,курьер свое авто,
171746,2,Москва,курьер авто компании,
206413,2,Москва,свое авто,
206414,2,Москва,свое авто,
206721,2,Москва,авто компании,
132166,2,Москва,экспедитор,
178504,2,Москва,свое авто,
64893,2,Москва,курьер,
64900,2,Москва,курьер свое авто,
64904,2,Москва,курьер свое авто,
175873,2,Москва,авто компании,
181481,2,Москва,свое авто,6/1
64905,2,Москва,авто компании,3/1
64923,2,Москва,свое авто,
64942,2,Москва,авто компании,
64948,2,Москва,Водитель,
145947,4,Москва,курьер,
146985,2,Москва,курьер свое авто,
147223,2,Москва,свое авто,
146858,2,Москва,Водитель,
146894,2,Москва,легковой,
147107,1,Москва,Водитель,
65304,2,Москва,свое авто,
64953,3,Москва,курьер авто компании,2/2
128268,2,Москва,свое авто,6/1
64965,2,Москва,курьер авто компании,2/2
64985,2,Москва,свое авто,
65138,2,Москва,курьер авто компании,2/2
65139,2,Москва,свое авто,
66265,2,Москва,авто компании,
66287,2,Москва,авто компании,
109113,2,Москва,авто компании,
107038,2,Москва,свое авто,
107043,2,Москва,свое авто,
107044,2,Москва,авто компании,
109610,2,Москва,курьер авто компании,
107082,2,Москва,свое авто,
110861,2,Москва,авто компании,5/2
65226,2,Москва,свое авто,
67471,2,Москва,авто компании,
67474,2,Москва,свое авто,
67838,2,Москва,авто компании,
69038,2,Москва,авто компании,
69040,2,Москва,авто компании,
68788,2,Москва,курьер авто компании,
70153,2,Москва,курьер авто компании,
69180,2,Москва,курьер авто компании,
69222,2,Москва,свое авто,
69223,2,Москва,авто компании,
69316,2,Москва,авто компании,
76745,2,Москва,авто компании,
77535,1,Москва,курьер свое авто,
78664,3,Москва,свое авто,2/2
70018,2,Москва,курьер свое авто,6/1
70055,2,Москва,авто компании,3/2
70575,2,Москва,свое авто,
70779,2,Москва,авто компании,
71363,2,Москва,авто компании,
71242,2,Москва,курьер,
70926,2,Москва,авто компании,
70931,2,Москва,авто компании,
70939,2,Москва,курьер авто компании,
71315,2,Москва,авто компании,
71531,2,Москва,авто компании,
71532,2,Москва,авто компании,
72643,2,Москва,курьер,
72656,2,Москва,авто компании,
74107,2,Москва,авто компании,
74369,2,Москва,Водитель,
74370,2,Москва,свое авто,5/2
74750,2,Москва,курьер,
73868,2,Москва,свое авто,
73620,2,Москва,Водитель,
73625,2,Москва,авто компании,
74247,2,Москва,авто компании,
117106,2,Москва,Водитель,
117107,2,Москва,свое авто,
117111,2,Москва,Водитель,
192633,2,Москва,свое авто,
195394,2,Москва,Водитель,
74258,2,Москва,курьер авто компании,
74866,2,Москва,курьер свое авто,
73973,2,Москва,курьер авто компании,
74563,2,Москва,авто компании,
74892,2,Москва,авто компании,
74600,2,Москва,свое авто,3/2
75319,2,Москва,свое авто,
75549,2,Москва,авто компании,
75554,2,Москва,курьер,
75611,2,Москва,курьер свое авто,
184716,2,Москва,Водитель,
166931,2,Москва,авто компании,
166934,2,Москва,Водитель,
79384,2,Москва,авто компании,
79790,2,Москва,авто компании,
80143,2,Москва,свое авто,6/1
79796,2,Москва,свое авто,
80148,2,Москва,курьер,6/1
79840,2,Москва,свое авто,
79841,2,Москва,курьер,
79842,2,Москва,курьер,
80225,2,Москва,свое авто,
80897,2,Москва,авто компании,2/2
79504,2,Москва,свое авто,
80226,2,Москва,авто компании,
80303,2,Москва,курьер авто компании,5/2
117246,2,Москва,авто компании,
117962,2,Москва,курьер,
121359,2,Москва,авто компании,
121360,2,Москва,свое авто,
79968,2,Москва,курьер свое авто,6/1
81601,1,Москва,Водитель,
81664,2,Москва,курьер свое авто,
81665,2,Москва,курьер авто компании,
81852,2,Москва,авто компании,
81934,2,Москва,авто компании,2/2
82465,2,Москва,свое авто,
82924,2,Москва,свое авто,
84328,3,Москва,Водитель,
85275,2,Москва,Водитель,
87283,1,Москва,Водитель,
85500,2,Москва,Водитель,
107203,2,Москва,свое авто,
107204,2,Москва,Водитель,
107263,2,Москва,свое авто,
107285,2,Москва,свое авто,
85828,2,Москва,кладовщик,
87678,2,Москва,Водитель,
85912,2,Москва,свое авто,
88420,3,Москва,авто компании,5/2
88110,2,Москва,авто компании,
88893,2,Москва,авто компании,
88475,2,Москва,авто компании,5/2
89567,2,Москва,Водитель,
88186,1,Москва,курьер,
88187,2,Москва,свое авто,
87492,2,Москва,авто компании,
87503,2,Москва,свое авто,2/2
88835,2,Москва,свое авто,
90575,2,Москва,авто компании,
90576,2,Москва,свое авто,
89785,2,Москва,авто компании,
90315,2,Москва,грузовой,
90758,3,Москва,курьер,2/2
90326,2,Москва,авто компании,
90327,2,Москва,свое авто,
90451,2,Москва,свое авто,
90452,2,Москва,авто компании,
90501,2,Москва,курьер,
91152,2,Москва,авто компании,
91723,2,Москва,авто компании,
91792,2,Москва,Водитель,
91536,2,Москва,авто компании,
148279,2,Москва,экспедитор,
148280,2,Москва,экспедитор,
148285,4,Москва,экспедитор,
93283,2,Москва,свое авто,
93055,2,Москва,авто компании,5/2
93056,2,Москва,свое авто,5/2
92615,2,Москва,курьер,
93350,2,Москва,авто компании,
121842,2,Москва,авто компании,
121892,2,Москва,авто компании,
92845,2,Москва,авто компании,
93760,2,Москва,курьер,
95369,2,Москва,авто компании,
94936,2,Москва,авто компании,
96349,2,Москва,Водитель,
97611,1,Москва,Водитель,
96912,1,Москва,Водитель,
97868,2,Москва,курьер,
107115,2,Москва,авто компании,
107117,2,Москва,свое авто,
107198,2,Москва,свое авто,
120094,2,Москва,свое авто,
121139,2,Москва,курьер авто компании,
121141,2,Москва,курьер свое авто,
120726,3,Москва,авто компании,
122277,3,Москва,авто компании,
122814,2,Москва,Водитель,
122873,2,Москва,авто компании,
186222,2,Москва,курьер,
186223,2,Москва,курьер,
186050,2,Москва,свое авто,
123858,2,Москва,курьер,5/2
124255,2,Москва,авто компании,
124286,2,Москва,авто компании,
124287,2,Москва,свое авто,
124952,4,Москва,экспедитор,
126788,2,Москва,авто компании,
127191,2,Москва,авто компании,
127192,2,Москва,свое авто,
126925,2,Москва,свое авто,
127407,2,Москва,свое авто,
127678,2,Москва,авто компании,5/2
128059,2,Москва,свое авто,
128117,2,Москва,авто компании,5/2
127624,2,Москва,курьер авто компании,5/2
127874,2,Москва,свое авто,
128249,2,Москва,свое авто,
128256,2,Москва,авто компании,
128680,2,Москва,авто компании,
129119,2,Москва,авто компании,
129278,2,Москва,курьер,
129279,2,Москва,курьер свое авто,
129775,2,Москва,свое авто,
130404,3,Москва,Водитель,
130437,2,Москва,авто компании,
129924,2,Москва,авто компании,
130574,2,Москва,авто компании,
130599,2,Москва,курьер свое авто,
130842,2,Москва,авто компании,
131300,2,Москва,авто компании,
131329,2,Москва,курьер свое авто,
131427,2,Москва,экспедитор,
132516,2,Москва,свое авто,
132350,2,Москва,курьер,
134730,4,Москва,экспедитор,
134765,2,Москва,грузовой,2/2
134809,2,Москва,курьер свое авто,
134164,1,Москва,курьер свое авто,
134629,4,Москва,грузовой,
135302,2,Москва,авто компании,
136032,2,Москва,свое авто,
136185,2,Москва,авто компании,5/2
136244,2,Москва,авто компании,
136302,2,Москва,авто компании,
136542,2,Москва,авто компании,
136361,2,Москва,Водитель,
136830,2,Москва,авто компании,
136920,2,Москва,авто компании,
136922,2,Москва,свое авто,
137296,2,Москва,курьер,
137130,2,Москва,авто компании,
138085,2,Москва,авто компании,
138482,2,Москва,курьер,
138524,2,Москва,свое авто,
138344,2,Москва,курьер,
138345,2,Москва,свое авто,
139075,2,Москва,авто компании,
139387,2,Москва,экспедитор,
138861,2,Москва,свое авто,
138862,2,Москва,авто компании,
139750,2,Москва,Водитель,
140300,2,Москва,авто компании,
140906,2,Москва,свое авто,6/1
142076,2,Москва,свое авто,
142156,2,Москва,курьер,
142435,2,Москва,авто компании,
142626,2,Москва,свое авто,
142931,2,Москва,авто компании,5/2
143365,1,Москва,свое авто,
143202,2,Москва,курьер авто компании,5/2
143852,4,Москва,Водитель,
144612,2,Москва,свое авто,
145101,2,Москва,курьер авто компании,6/1
145330,2,Москва,курьер,
145512,2,Москва,авто компании,
145922,2,Москва,свое авто,
145789,2,Москва,свое авто,
146154,2,Москва,курьер,
149149,2,Москва,свое авто,
149767,2,Москва,свое авто,
148817,2,Москва,свое авто,
148820,2,Москва,авто компании,
150474,2,Москва,авто компании,
150477,2,Москва,свое авто,
150518,2,Москва,свое авто,
150519,2,Москва,авто компании,
155210,2,Москва,курьер,
155211,2,Москва,курьер,
155212,1,Москва,курьер,
155738,2,Москва,свое авто,6/1
155749,2,Москва,авто компании,
157325,1,Москва,Водитель,
157302,1,Москва,Водитель,
157306,1,Москва,Водитель,
157313,1,Москва,Водитель,
157058,2,Москва,авто компании,
157076,2,Москва,авто компании,
158665,2,Москва,авто компании,
159225,2,Москва,курьер авто компании,
159226,2,Москва,курьер свое авто,
159484,2,Москва,авто компании,
160303,2,Москва,Водитель,
161846,2,Москва,курьер,
192378,2,Москва,свое авто,
196457,2,Москва,свое авто,
163189,2,Москва,авто компании,
164637,2,Москва,авто компании,
166478,2,Москва,авто компании,5/2
166481,2,Москва,авто компании,5/2
177002,2,Москва,свое авто,
168967,2,Москва,свое авто,
169766,2,Москва,авто компании,
169768,2,Москва,свое авто,
174920,2,Москва,свое авто,
175890,2,Москва,кладовщик грузовой,
175903,2,Москва,авто компании,5/2
177729,2,Москва,авто компании,
179695,2,Москва,свое авто,
179743,2,Москва,курьер,
179744,2,Москва,курьер,
179745,2,Москва,курьер,
179787,2,Москва,свое авто,
180452,2,Москва,свое авто,
180455,2,Москва,авто компании,
181422,2,Москва,свое авто,
180677,2,Москва,авто компании,
183066,2,Москва,Водитель,
184425,2,Москва,курьер авто компании,
184685,2,Москва,Водитель,
184686,2,Москва,Водитель,
186140,2,Москва,кладовщик грузовой,
197101,2,Москва,легковой,
197104,2,Москва,легковой,
197105,2,Москва,легковой,
197106,2,Москва,легковой,
197200,2,Москва,Водитель,
197468,2,Москва,курьер,
197472,2,Москва,курьер,
197474,2,Москва,курьер,
199929,2,Москва,курьер,
199930,2,Москва,курьер,
199931,2,Москва,курьер,
200752,2,Москва,Водитель,
201331,2,Москва,курьер авто компании,
212483,2,Москва,свое авто,
212102,2,Москва,курьер,
212103,2,Москва,свое авто,
212768,2,Москва,свое авто,
212515,2,Москва,авто компании,5/2
212769,2,Москва,авто компании,
214392,2,Москва,курьер авто компании,5/2
215159,2,Москва,свое авто,
215439,2,Москва,авто компании,
215447,2,Москва,свое авто,
215450,2,Москва,свое авто,
217440,2,Москва,экспедитор,
283782,2,Москва,курьер,
283813,2,Москва,экспедитор,
285166,2,Москва,свое авто,
292857,2,Москва,авто компании,
201905,3,Москва,экспедитор свое авто,
201979,2,Москва,курьер авто компании,6/1
201794,1,Москва,Водитель,
202940,2,Москва,свое авто,
202957,2,Москва,курьер,3/2
209336,2,Москва,свое авто,
209340,2,Москва,авто компании,
219101,2,Москва,Водитель,
219340,2,Москва,курьер,
220974,2,Москва,свое авто,6/1
220607,2,Москва,Водитель,
221477,2,Москва,свое авто,
221794,2,Москва,экспедитор,
221210,2,Москва,свое авто,2/2
221438,2,Москва,свое авто,5/2
221900,2,Москва,авто компании,5/2
223322,2,Москва,свое авто,
250621,2,Москва,свое авто,6/1
251299,2,Москва,свое авто,
257311,2,Москва,курьер свое авто,
258263,2,Москва,свое авто,
260040,2,Москва,авто компании,
224262,2,Москва,авто компании,5/2
224288,2,Москва,свое авто,
223518,2,Москва,свое авто,
225788,2,Москва,свое авто,3/1
261057,2,Москва,свое авто,6/1
260083,2,Москва,авто компании,
260897,3,Москва,экспедитор,
266643,2,Москва,свое авто,6/1
271502,2,Москва,свое авто,
271875,2,Москва,авто компании,
274235,2,Москва,свое авто,
227346,2,Москва,свое авто,6/1
227351,2,Москва,свое авто,6/1
228063,2,Москва,свое авто,
228260,4,Москва,Водитель,
235812,3,Москва,грузовой,
236242,2,Москва,свое авто,
238735,2,Москва,грузовой,
239026,2,Москва,курьер,
239007,2,Москва,Водитель,
241774,2,Москва,свое авто,
242163,2,Москва,свое авто,
242168,2,Москва,авто компании,
248969,2,Москва,свое авто,
248970,2,Москва,свое авто,
248877,2,Москва,свое авто,
250049,2,Москва,Водитель,2/2
251591,2,Москва,грузовой,5/2
252507,2,Москва,свое авто,5/2
252527,2,Москва,свое авто,
253229,2,Москва,свое авто,
305098,3,Москва,Водитель,
253433,2,Москва,авто компании,
254227,2,Москва,свое авто,
253437,2,Москва,Водитель,
254272,2,Москва,свое авто,6/1
257004,2,Москва,Водитель,
257006,2,Москва,Водитель,
257009,2,Москва,Водитель,
257015,2,Москва,Водитель,
257181,2,Москва,авто компании,5/2
257224,2,Москва,свое авто,
257249,2,Москва,Водитель,
285397,1,Москва,грузовой,
285584,2,Москва,авто компании,
287083,2,Москва,курьер,
288988,2,Москва,Водитель,
289390,3,Москва,курьер,
291032,3,Москва,экспедитор,6/1
291462,1,Москва,свое авто,
291909,2,Москва,Водитель,
295511,2,Москва,свое авто,
294346,2,Москва,свое авто,
295845,2,Москва,авто компании,
297245,2,Москва,курьер свое авто,
297261,2,Москва,свое авто,
304390,2,Москва,свое авто,
348568,2,Москва,авто компании,
306409,2,Москва,свое авто,6/1
307284,2,Москва,Водитель,
307670,2,Москва,свое авто,
307671,2,Москва,свое авто,
307697,2,Москва,свое авто,6/1
307737,2,Москва,свое авто,
307503,1,Москва,Водитель,
308337,2,Москва,свое авто,
308826,2,Москва,свое авто,
310035,2,Москва,курьер свое авто,
310285,3,Москва,Водитель,
310140,1,Москва,Водитель,2/2
311557,2,Москва,свое авто,
312665,2,Москва,свое авто,6/1
322610,2,Москва,свое авто,
323800,2,Москва,свое авто,
323801,2,Москва,свое авто,
324175,2,Москва,свое авто,
328479,2,Москва,свое авто,
329090,2,Москва,свое авто,6/1
330786,2,Москва,Водитель,
331612,1,Москва,свое авто,
332718,1,Москва,свое авто,
333375,1,Москва,курьер свое авто,6/1
333699,1,Москва,свое авто,6/1
333700,1,Москва,свое авто,6/1
333548,2,Москва,курьер свое авто,6/1
344714,2,Москва,свое авто,6/1
345280,2,Москва,курьер,
347793,2,Москва,свое авто,
347797,1,Москва,свое авто,
348037,2,Москва,авто компании,
348038,2,Москва,авто компании,
350344,1,Москва,свое авто,
370097,1,Москва,грузовой,
369978,1,Москва,авто компании,
115500,2,Сыктывкар,Водитель,
